AttMatriz;Iteradores;1;2;3;;
percentual_duracao_patamar_carga;01/01/2020;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;02/01/2020;0.2184;0.2615;0.5201;;
percentual_duracao_patamar_carga;03/01/2020;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;04/01/2020;0.2778;0.2222;0.5;;
percentual_duracao_patamar_carga;05/01/2020;0.3226;0.1935;0.4839;;
percentual_duracao_patamar_carga;06/01/2020;0.35;0.1958;0.4542;;
percentual_duracao_patamar_carga;07/01/2020;0.371;0.1976;0.4314;;
percentual_duracao_patamar_carga;08/01/2020;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;09/01/2020;0.2917;0.225;0.4833;;
percentual_duracao_patamar_carga;10/01/2020;0.2823;0.2231;0.4946;;
percentual_duracao_patamar_carga;11/01/2020;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2020;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;01/01/2021;0.2151;0.2594;0.5255;;
percentual_duracao_patamar_carga;02/01/2021;0.2262;0.2664;0.5074;;
percentual_duracao_patamar_carga;03/01/2021;0.2473;0.2796;0.4731;;
percentual_duracao_patamar_carga;04/01/2021;0.2778;0.2222;0.5;;
percentual_duracao_patamar_carga;05/01/2021;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;06/01/2021;0.35;0.1958;0.4542;;
percentual_duracao_patamar_carga;07/01/2021;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;08/01/2021;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;09/01/2021;0.2917;0.225;0.4833;;
percentual_duracao_patamar_carga;10/01/2021;0.2688;0.2204;0.5108;;
percentual_duracao_patamar_carga;11/01/2021;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2021;0.2473;0.2796;0.4731;;
percentual_duracao_patamar_carga;01/01/2022;0.2258;0.2661;0.5081;;
percentual_duracao_patamar_carga;02/01/2022;0.2381;0.2738;0.4881;;
percentual_duracao_patamar_carga;03/01/2022;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;04/01/2022;0.2639;0.2194;0.5167;;
percentual_duracao_patamar_carga;05/01/2022;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;06/01/2022;0.35;0.1958;0.4542;;
percentual_duracao_patamar_carga;07/01/2022;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;08/01/2022;0.371;0.1976;0.4314;;
percentual_duracao_patamar_carga;09/01/2022;0.2917;0.225;0.4833;;
percentual_duracao_patamar_carga;10/01/2022;0.2688;0.2204;0.5108;;
percentual_duracao_patamar_carga;11/01/2022;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2022;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;01/01/2023;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;02/01/2023;0.2262;0.2664;0.5074;;
percentual_duracao_patamar_carga;03/01/2023;0.2473;0.2796;0.4731;;
percentual_duracao_patamar_carga;04/01/2023;0.25;0.2167;0.5333;;
percentual_duracao_patamar_carga;05/01/2023;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;06/01/2023;0.35;0.1958;0.4542;;
percentual_duracao_patamar_carga;07/01/2023;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;08/01/2023;0.371;0.1976;0.4314;;
percentual_duracao_patamar_carga;09/01/2023;0.2778;0.2222;0.5;;
percentual_duracao_patamar_carga;10/01/2023;0.2823;0.2231;0.4946;;
percentual_duracao_patamar_carga;11/01/2023;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2023;0.2151;0.2594;0.5255;;
percentual_duracao_patamar_carga;01/01/2024;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;02/01/2024;0.2299;0.2687;0.5014;;
percentual_duracao_patamar_carga;03/01/2024;0.2151;0.2594;0.5255;;
percentual_duracao_patamar_carga;04/01/2024;0.3056;0.2278;0.4666;;
percentual_duracao_patamar_carga;05/01/2024;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;06/01/2024;0.3333;0.1944;0.4723;;
percentual_duracao_patamar_carga;07/01/2024;0.371;0.1976;0.4314;;
percentual_duracao_patamar_carga;08/01/2024;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;09/01/2024;0.2917;0.225;0.4833;;
percentual_duracao_patamar_carga;10/01/2024;0.3091;0.2285;0.4624;;
percentual_duracao_patamar_carga;11/01/2024;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2024;0.2258;0.2661;0.5081;;
percentual_duracao_patamar_carga;01/01/2025;0.2366;0.2728;0.4906;;
percentual_duracao_patamar_carga;02/01/2025;0.2299;0.2687;0.5014;;
percentual_duracao_patamar_carga;03/01/2025;0.2151;0.2594;0.5255;;
percentual_duracao_patamar_carga;04/01/2025;0.3056;0.2278;0.4666;;
percentual_duracao_patamar_carga;05/01/2025;0.3387;0.1949;0.4664;;
percentual_duracao_patamar_carga;06/01/2025;0.3333;0.1944;0.4723;;
percentual_duracao_patamar_carga;07/01/2025;0.371;0.1976;0.4314;;
percentual_duracao_patamar_carga;08/01/2025;0.3548;0.1962;0.449;;
percentual_duracao_patamar_carga;09/01/2025;0.2917;0.225;0.4833;;
percentual_duracao_patamar_carga;10/01/2025;0.3091;0.2285;0.4624;;
percentual_duracao_patamar_carga;11/01/2025;0.2222;0.2639;0.5139;;
percentual_duracao_patamar_carga;12/01/2025;0.2258;0.2661;0.5081;;
