ESTAGIO;MES;ANO;1;2;3;4;5
1;1;2016;1250;11613;10910;5456;0
2;2;2016;1250;12093;10677;5351;0
3;3;2016;1250;11400;10778;5425;0
4;4;2016;1250;10708;10685;5470;0
5;5;2016;1250;10414;10369;5408;0
6;6;2016;1250;10438;10130;5220;0
7;7;2016;1250;10625;9989;5311;0
8;8;2016;1250;10683;10145;5544;0
9;9;2016;1250;10523;10476;5647;0
10;10;2016;1250;10807;10656;5528;0
11;11;2016;1250;11015;10800;5471;0
12;12;2016;1250;11098;10797;5407;0
13;1;2017;1250;12175;11152;5496;0
14;2;2017;1250;12549;11094;5541;0
15;3;2017;1250;11829;11199;5617;0
16;4;2017;1250;11110;11102;5663;0
17;5;2017;1250;10805;10774;5599;0
18;6;2017;1250;10830;10527;5405;0
19;7;2017;1250;11024;10380;5499;0
20;8;2017;1250;11085;10542;5740;0
21;9;2017;1250;10918;10885;5846;0
22;10;2017;1250;11213;11072;5723;0
23;11;2017;1250;11429;11221;5664;0
24;12;2017;1250;11515;11218;5599;0
25;1;2018;1250;12703;11622;5693;0
26;2;2018;1250;13093;11562;5739;0
27;3;2018;1250;12342;11671;5819;0
28;4;2018;1250;11592;11570;6026;0
29;5;2018;1250;11273;11229;5949;0
30;6;2018;1250;11300;10971;5748;0
31;7;2018;1250;11501;10818;5834;0
32;8;2018;1250;11565;10987;6088;0
33;9;2018;1250;11391;11345;6220;0
34;10;2018;1250;11699;11539;6098;0
35;11;2018;1250;11924;11695;6039;0
36;12;2018;1250;12014;11691;5965;0
37;1;2019;1250;13235;12127;6049;0
38;2;2019;1250;13641;12064;6098;0
39;3;2019;1250;12859;12178;6182;0
40;4;2019;1250;12077;12072;6232;0
41;5;2019;1250;11745;11716;6162;0
42;6;2019;1250;11773;11447;5948;0
43;7;2019;1250;11983;11287;6051;0
44;8;2019;1250;12049;11464;6317;0
45;9;2019;1250;11868;11837;6434;0
46;10;2019;1250;12189;12040;6299;0
47;11;2019;1250;12424;12202;6234;0
48;12;2019;1250;12517;12199;6161;0
49;1;2020;1250;13832;12780;6757;0
50;2;2020;1250;14257;12713;6812;0
51;3;2020;1250;13440;12833;6906;0
52;4;2020;1250;12623;12722;6963;0
53;5;2020;1250;12275;12347;6884;0
54;6;2020;1250;12305;12063;6646;0
55;7;2020;1250;12524;11895;6761;0
56;8;2020;1250;12594;12081;7057;0
57;9;2020;1250;12404;12474;7188;0
58;10;2020;1250;12740;12688;7037;0
59;11;2020;1250;12985;12859;6964;0
60;12;2020;1250;13083;12855;6883;0
61;1;2021;1250;13832;12780;6757;0
62;2;2021;1250;14257;12713;6812;0
63;3;2021;1250;13440;12833;6906;0
64;4;2021;1250;12623;12722;6963;0
65;5;2021;1250;12275;12347;6884;0
66;6;2021;1250;12305;12063;6646;0
67;7;2021;1250;12524;11895;6761;0
68;8;2021;1250;12594;12081;7057;0
69;9;2021;1250;12404;12474;7188;0
70;10;2021;1250;12740;12688;7037;0
71;11;2021;1250;12985;12859;6964;0
72;12;2021;1250;13083;12855;6883;0
73;1;2022;1250;13832;12780;6757;0
74;2;2022;1250;14257;12713;6812;0
75;3;2022;1250;13440;12833;6906;0
76;4;2022;1250;12623;12722;6963;0
77;5;2022;1250;12275;12347;6884;0
78;6;2022;1250;12305;12063;6646;0
79;7;2022;1250;12524;11895;6761;0
80;8;2022;1250;12594;12081;7057;0
81;9;2022;1250;12404;12474;7188;0
82;10;2022;1250;12740;12688;7037;0
83;11;2022;1250;12985;12859;6964;0
84;12;2022;1250;13083;12855;6883;0
85;1;2023;1250;13832;12780;6757;0
86;2;2023;1250;14257;12713;6812;0
87;3;2023;1250;13440;12833;6906;0
88;4;2023;1250;12623;12722;6963;0
89;5;2023;1250;12275;12347;6884;0
90;6;2023;1250;12305;12063;6646;0
91;7;2023;1250;12524;11895;6761;0
92;8;2023;1250;12594;12081;7057;0
93;9;2023;1250;12404;12474;7188;0
94;10;2023;1250;12740;12688;7037;0
95;11;2023;1250;12985;12859;6964;0
96;12;2023;1250;13083;12855;6883;0
97;1;2024;1250;13832;12780;6757;0
98;2;2024;1250;14257;12713;6812;0
99;3;2024;1250;13440;12833;6906;0
100;4;2024;1250;12623;12722;6963;0
101;5;2024;1250;12275;12347;6884;0
102;6;2024;1250;12305;12063;6646;0
103;7;2024;1250;12524;11895;6761;0
104;8;2024;1250;12594;12081;7057;0
105;9;2024;1250;12404;12474;7188;0
106;10;2024;1250;12740;12688;7037;0
107;11;2024;1250;12985;12859;6964;0
108;12;2024;1250;13083;12855;6883;0
109;1;2025;1250;13832;12780;6757;0
110;2;2025;1250;14257;12713;6812;0
111;3;2025;1250;13440;12833;6906;0
112;4;2025;1250;12623;12722;6963;0
113;5;2025;1250;12275;12347;6884;0
114;6;2025;1250;12305;12063;6646;0
115;7;2025;1250;12524;11895;6761;0
116;8;2025;1250;12594;12081;7057;0
117;9;2025;1250;12404;12474;7188;0
118;10;2025;1250;12740;12688;7037;0
119;11;2025;1250;12985;12859;6964;0
120;12;2025;1250;13083;12855;6883;0
